project name,timestamp
myReport,"2022-01-25, 10:38"
""
z,w,l,W,Lb
20.0,495,500.0,500.0,20.0
""
Ph,gammaP
3,1.06
""
Zg,alpha,Kz
900,10,0.94
""
elevation,Ke
2500,0.91
""
Kzt,Kd,v,qz
1,0.85,100,18.66
""
LSFc,LSFe,LSFi
""
panel length,panel width,Aref
3,7,21
""
panel index,panel coords,panel class,zones,intersection area,vortex zones,An,GCL
78,"[(475.0, 462.0), (475.0, 465.0), (482.0, 465.0), (482.0, 462.0)]",interior,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
79,"[(482.0, 462.0), (482.0, 465.0), (489.0, 465.0), (489.0, 462.0)]",interior,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
80,"[(489.0, 462.0), (489.0, 465.0), (496.0, 465.0), (496.0, 462.0)]",east edge,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
81,"[(440.0, 465.0), (440.0, 468.0), (447.0, 468.0), (447.0, 465.0)]",nw corner,['3A2'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.37
82,"[(447.0, 465.0), (447.0, 468.0), (454.0, 468.0), (454.0, 465.0)]",north edge,['3A2'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.37
83,"[(454.0, 465.0), (454.0, 468.0), (461.0, 468.0), (461.0, 465.0)]",north edge,['3A2'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.37
84,"[(461.0, 465.0), (461.0, 468.0), (468.0, 468.0), (468.0, 465.0)]",north edge,"['3A1', '3A2']","[9.38, 11.62]","{'VNE-E': 16.5, 'VNE-N': 4.5, 'VNW-W': 21.0, 'VSW-W': 16.5, 'VSE-S': 21.0}",52.5,-0.37
85,"[(468.0, 465.0), (468.0, 468.0), (475.0, 468.0), (475.0, 465.0)]",north edge,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
86,"[(475.0, 465.0), (475.0, 468.0), (482.0, 468.0), (482.0, 465.0)]",north edge,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
87,"[(482.0, 465.0), (482.0, 468.0), (489.0, 468.0), (489.0, 465.0)]",north edge,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
88,"[(489.0, 465.0), (489.0, 468.0), (496.0, 468.0), (496.0, 465.0)]",ne corner,['3A1'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.41
